Time,X,Y,Z,R,Theta,Phi
10.415000000000001,-0.14970922016679214,0.08907703866565578,-0.22115849613343444,0.1527427907505688,1.3290573081122148,-0.47713960242607
10.42,-0.10687622016679225,-0.08431996133434423,-0.07560549613343442,0.09924079075056888,0.4628543081122021,0.5380883975739091
10.425,0.0033627798332077448,0.0017600386656558187,-0.03639849613343443,-0.0056392092494307626,0.2224133081122122,-0.015362602426086325
10.43,0.007354779833207961,-0.023945961334344183,-0.12375149613343443,-0.01164620924943108,0.7497653081122055,0.1381553975739333
10.435,-0.12558522016679344,-0.01320996133434422,-0.03626649613343442,0.1221687907505674,0.2293033081122107,0.12077639757392787
10.44,0.05809377983320805,-0.09474796133434414,-0.07980849613343444,-0.06606920924943097,0.48247630811220027,0.5495173975739017
10.445,0.2921997798332069,-0.10640096133434426,-0.02777649613343441,-0.3000172092494326,0.15017830811220595,0.5468773975739164
10.450000000000001,-0.06305722016679306,-0.03035396133434426,-0.0432934961334344,0.05868379075056915,0.26765530811221394,0.20129639757390652
10.455,-0.11745022016679231,-0.04656296133434417,-0.2003294961334344,0.11189979075056997,1.2070933081122095,0.3164853975739216
10.46,0.02810277983320728,-0.03026796133434412,0.0520655038665656,-0.03093920924943042,-0.314703691887797,0.16899439757391935
10.465,0.02564477983320655,-0.09094696133434417,-0.07204149613343443,-0.033421209249430955,0.4365403081122028,0.5366543975739201
10.47,-0.23661822016679424,0.04987203866565575,-0.22641549613343437,0.23687279075056886,1.3554393081122134,-0.21139260242606542
10.475,-0.03840322016679312,-0.07841296133434424,0.1831065038665656,0.036217790750569495,-1.0947866918877875,0.4813103975739291
10.48,-0.05253322016679287,0.042429038665655776,-0.10876949613343445,0.0522647907505681,0.6602033081122047,-0.23836960242608185
10.485,-0.006670220166792216,-0.017608961334344263,-0.07560449613343442,0.0028927907505681113,0.4594283081122117,0.10495239757391872
10.49,-0.009646220166794301,0.001572038665655853,0.13400950386656554,0.0105777907505685,-0.8038546918877896,-0.00942760242609252
10.495000000000001,0.13125177983320743,-0.011497961334344171,-0.15013349613343444,-0.1345652092494324,0.9105693081122045,0.017581397573928414
10.5,0.17951477983320605,-0.07316096133434419,0.024402503866565586,-0.1850032092494322,-0.16290869188778997,0.3783293975739294
10.505,0.02805877983320646,0.01640303866565589,0.028933503866565572,-0.02848820924943155,-0.17439869188779905,-0.11300360242609642
10.51,0.029007779833206775,-0.007307961334344257,-0.13387349613343444,-0.03227220924943112,0.8109373081122047,0.029894397573906006
10.515,0.08811677983320619,0.0028240386656557723,0.013535503866565577,-0.08952020924943241,-0.08692769188779124,-0.053524602426086136
10.52,-0.17530222016679278,0.06944003866565579,-0.1066834961334344,0.1765587907505689,0.6496523081122123,-0.3505836024261047
10.525,-0.06552622016679266,0.007936038665655887,-0.06511649613343443,0.06325179075056817,0.39871330811220984,-0.026974602426071626
10.53,-0.13378522016679387,0.07877303866565581,0.09738250386656555,0.13847079075056876,-0.5646576918877853,-0.4225736024260759
10.535,0.09381777983320634,-0.04490296133434419,-0.14797349613343444,-0.09916720924943172,0.8969893081121998,0.2347743975739089
10.540000000000001,0.2057637798332078,-0.07984996133434427,0.13900450386656557,-0.20893420924943143,-0.8726106918877972,0.4107393975738997
10.545,-0.07499022016679215,0.10108603866565584,0.06135650386656558,0.0805977907505698,-0.3573136918877932,-0.5798616024260984
10.55,0.06800877983320751,-0.029953961334344196,-0.07211249613343443,-0.0723602092494319,0.43547230811219917,0.15297239757392692
10.555,0.05665477983320675,0.05995203866565584,0.11673450386656557,-0.05226420924943134,-0.7096846918877984,-0.38773860242606056
10.56,-0.2368492201667937,0.042128038665655884,-0.10891349613343446,0.2361757907505683,0.6637053081122164,-0.16579960242609712
10.565,0.16325777983320652,-0.04195996133434416,0.22578350386656557,-0.16147220924943018,-1.3970706918877875,0.1924163975739017
10.57,-0.032722220166792174,0.0530510386656558,0.09209750386656555,0.035806790750567995,-0.5475826918877938,-0.30987260242608883
10.575000000000001,-0.04922222016679282,0.014674038665655802,-0.13377949613343443,0.04716079075056875,0.8102893081122065,-0.07339160242606269
10.58,0.15087777983320624,-0.08802896133434425,0.3462095038665656,-0.14627620924943244,-2.132223691887799,0.4790063975739197
10.585,0.136452779833207,0.013463038665655838,0.02692850386656559,-0.1368702092494322,-0.17341469188779657,-0.13689860242607818
10.59,-0.01871522016679274,-0.03311496133434417,-0.06926649613343443,0.014050790750568112,0.42164030811220554,0.20251739757392176
10.595,0.07793577983320688,-0.06655296133434425,0.2599275038665656,-0.0763682092494308,-1.585050691887798,0.3718743975739126
10.6,-0.0289762201667926,0.08784403866565586,0.0941525038665656,0.03449479075056935,-0.5601256918878019,-0.5201386024260789
10.605,0.01893877983320711,-0.027109961334344134,-0.03526649613343442,-0.022904209249430846,0.21450930811220162,0.15314039757390066
10.61,-0.24973622016679284,0.06716503866565586,0.06608950386656556,0.2526547907505685,-0.36469869188779264,-0.30782760242607915
10.615,0.02323777983320672,-0.005537961334344208,0.17898750386656556,-0.021295209249432432,-1.0813736918877876,0.02131939757389845
10.620000000000001,0.10193677983320704,-0.022015961334344195,0.09016450386656555,-0.10332220924943071,-0.5557616918877923,0.09253239757392706
10.625,-0.0183372201667932,0.0018550386656557753,-0.03839049613343442,0.016005790750568707,0.2357263081122088,-0.007916602426070497
10.63,0.07424777983320649,-0.07455496133434422,0.1126635038665656,-0.07810020924943131,-0.6890476918877906,0.42172539757393074
10.635,0.06163177983320699,-0.03415496133434421,0.029898503866565597,-0.06503820924943163,-0.1840426918877935,0.18071239757389276
10.64,0.11033377983320747,-0.012092961334344185,-0.05986249613343443,-0.11345920924943101,0.35905630811220446,0.028979397573914007
10.645,0.013360779833207251,-0.056725961334344224,0.028581503866565577,-0.018151209249431727,-0.17120969188779298,0.33388039757391497
10.65,0.14557777983320616,-0.09468396133434422,0.008429503866565578,-0.15251920924943022,-0.06159069188779796,0.5214873975739006
10.655,0.09601577983320807,-0.04905296133434417,-0.02934649613343441,-0.10104820924943082,0.1735323081122178,0.2592803975739112
10.66,-0.17960322016679267,-0.010426961334344127,-0.014905496133434433,0.176489790750569,0.10597330811220076,0.1232023975739135
10.665000000000001,0.13715977983320723,-0.06828996133434424,-7.496133434421292e-06,-0.1428292092494311,-0.009008691887796943,0.36267339757392236
10.67,-0.034981220166792636,0.0415960386656558,-0.027604496133434433,0.03523979075056957,0.17202130811219576,-0.24026160242610825
10.675,0.05609577983320588,-0.1663139613343442,-0.003716496133434411,-0.06675920924943149,0.020059308112198266,0.9844693975739114
10.68,0.09348277983320663,-0.06827896133434426,-0.03633949613343442,-0.09966220924943252,0.21626430811220448,0.3772003975739092
10.685,0.030602779833206785,-0.09727696133434417,0.0884925038665656,-0.03631520924943224,-0.5360246918878002,0.5733973975739214
10.69,0.04278377983320678,-0.052533961334344244,-0.05468749613343443,-0.048341209249431,0.3307203081122086,0.29861739757390027
10.695,-0.1246602201667929,0.006957038665655826,-0.07718449613343442,0.122135790750569,0.47306230811220784,0.0005213975739134609
10.700000000000001,-0.06372622016679154,0.009514038665655856,0.004340503866565568,0.06229179075056898,-0.017706691887792374,-0.03709160242607977
10.705,0.026662779833206723,-0.03838796133434425,-0.11441349613343442,-0.03174620924943219,0.6931243081122065,0.2185693975739237
10.71,0.008161779833206189,-0.038988961334344215,-0.022988496133434424,-0.012698209249432466,0.1409543081122027,0.22859439757390834
10.715,-0.0163222201667931,0.04189003866565581,0.04154750386656556,0.01765379075056813,-0.2456576918877968,-0.24935660242608185
10.72,-0.062352220166793114,0.023199038665655806,-0.12281549613343443,0.060804790750568084,0.7445383081122006,-0.11948860242606585
10.725,0.03690677983320687,-0.060790961334344196,-0.03414149613343442,-0.04274120924943162,0.20646030811220184,0.3505733975739186
10.73,0.02161477983320635,0.07842403866565577,-0.044529496133434404,-0.018912209249432405,0.2707613081122023,-0.484784602426095
10.735,-0.14217722016679268,0.07606703866565584,-0.1804534961334344,0.1440447907505698,1.0876023081122133,-0.4031196024260798
10.74,-0.04356522016679168,-0.04706996133434422,-0.011172496133434417,0.0386287907505681,0.0734953081122174,0.2948483975739232
10.745000000000001,-0.0977212201667942,0.09691803866565578,-0.06041649613343443,0.1012897907505684,0.3722473081121965,-0.5453916024260711
10.75,-0.050330220166793144,-0.004824961334344244,0.02697050386656557,0.04839679075056744,-0.1547606918877986,0.04387139757391724
10.755,-0.02416522016679248,0.08463203866565587,-0.04731649613343442,0.027161790750568425,0.2900943081122054,-0.5028966024260687
10.76,-0.07640322016679335,0.056273038665655854,-0.22946349613343442,0.07746079075056918,1.3829203081122077,-0.31173460242610573
10.765,-0.11618222016679448,0.02928803866565582,0.061489503866565584,0.11685879075056944,-0.35374269188778523,-0.13543460242607963
10.77,0.029840779833206862,0.04591903866565589,-0.05641249613343442,-0.029426209249431207,0.3421033081122036,-0.2919746024260864
10.775,-0.20265622016679355,0.10134703866565582,-0.2190644961334344,0.20639679075056871,1.3137753081122017,-0.5277376024261063
10.78,0.010097779833206791,-0.030137961334344272,0.059591503866565566,-0.012811209249431386,-0.3580536918878008,0.17453239757392072
10.785,0.030467779833206567,0.05631503866565584,-0.12840649613343444,-0.029661209249431195,0.7778413081122042,-0.355023602426093
10.790000000000001,-0.07698722016679328,0.04949703866565585,-0.15390449613343443,0.07712679075056869,0.9307033081122033,-0.2710386024260803
10.795,-0.09857822016679231,0.0476460386656558,0.14130550386656557,0.10241979075056824,-0.8320676918877834,-0.2515226024260703
10.8,0.0010227798332075135,0.06688703866565576,-0.19504449613343441,0.0006387907505692433,1.179971308112204,-0.4067046024260951
10.805,0.1527127798332078,0.05568603866565585,0.0814175038665656,-0.1492292092494322,-0.5087876918878008,-0.4016086024260863
10.81,-0.30261722016679216,0.14335103866565582,-0.09049949613343446,0.30882379075056915,0.557107308112211,-0.7315186024260703
10.815,0.13535477983320807,-0.011197961334344206,-0.0926924961334344,-0.13857620924943084,0.5589003081122033,0.014224397573905933
10.82,0.004345779833205702,0.09579703866565586,0.04313650386656557,0.0007497907505696598,-0.25710169188779425,-0.5821196024260819
10.825000000000001,-0.05564222016679311,0.005654038665655773,-0.03532549613343442,0.053501790750567796,0.2195523081122022,-0.01696460242607755
10.83,0.1129617798332071,0.031145038665655815,-0.05066249613343443,-0.11328820924943107,0.3028883081122049,-0.23554760242607287
10.835,-0.03800822016679386,0.06594303866565579,0.0321785038665656,0.040722790750569476,-0.18682769188779647,-0.3850526024260778
10.84,0.011345779833205375,0.06927003866565577,0.02643550386656557,-0.008379209249431838,-0.1572476918877865,-0.4253206024260754
10.845,-0.12379422016679266,0.11528803866565579,-0.016932496133434432,0.12902979075056806,0.1146103081122081,-0.6435216024260687
10.85,-0.20653222016679354,0.12911303866565574,0.022854503866565568,0.21310179075056884,-0.1142636918877966,-0.6895876024260933
10.855,0.11348477983320822,0.0135240386656557,0.017770503866565566,-0.11409920924943168,-0.11511869188778379,-0.12836960242606818
10.86,-0.037869220166793074,0.045677038665655804,0.05630150386656558,0.03967879075056921,-0.33189969188779544,-0.2635926024260645
10.865,0.189129779833208,-0.09238096133434416,0.029166503866565583,-0.1955512092494322,-0.19335069188779777,0.4933503975739139
10.870000000000001,-0.009747220166793321,0.019878038665655903,-0.026708496133434425,0.008675790750569092,0.16486530811220096,-0.11953460242609182
10.875,0.03312777983320712,-0.04213196133434422,0.08082450386656556,-0.03603320924943012,-0.4895306918877904,0.2389703975739163
10.88,0.11618577983320655,0.06638803866565583,0.03168750386656558,-0.113065209249431,-0.20001069188779438,-0.45161160242609
10.885,-0.13844022016679172,-0.0116919613343442,0.009499503866565593,0.13565579075056874,-0.04216669188779719,0.11627439757392566
10.89,0.02390877983320725,0.008478038665655819,0.11055950386656554,-0.02310420924943216,-0.667669691887792,-0.0635656024260872
10.895,-0.05991222016679312,0.01800803866565575,0.024574503866565595,0.05932279075056876,-0.13930369188780076,-0.08933760242610488
10.9,-0.0404322201667934,-0.04582396133434425,0.2152445038665656,0.04113079075056966,-1.2870006918877943,0.2863033975739252
10.905,0.11779077983320795,-0.1017849613343442,0.0018145038665655692,-0.1252352092494321,-0.018629691887792604,0.5736873975738997
10.91,0.056531779833206425,-0.10017296133434418,0.02212150386656556,-0.06367020924943226,-0.13665669188779045,0.582919397573897
10.915000000000001,0.0035287798332060785,-0.09433496133434417,0.16207450386656558,-0.007137209249432315,-0.976385691887796,0.56401339757391
10.92,0.10093077983320674,-0.015485961334344168,-0.030899496133434422,-0.10401220924943128,0.1828093081122009,0.05311839757390502
10.925,0.055585779833207435,-0.06568196133434419,0.18124850386656557,-0.05696320924943179,-1.1022176918877844,0.3740113975739173
10.93,-0.15132822016679195,0.041296038665655836,0.03209450386656556,0.15214679075056722,-0.17492569188779014,-0.19337160242608928
10.935,0.21235377983320697,-0.19285696133434418,0.10740950386656554,-0.2217922092494328,-0.6796636918877934,1.1059293975739246
10.94,0.0339247798332075,-0.034428961334344206,0.17182250386656558,-0.033902209249431575,-1.040472691887797,0.19211139757393272
10.945,0.31814277983320666,-0.2593739613343442,0.10714750386656555,-0.3300302092494311,-0.6955096918877897,1.4938383975739036
10.950000000000001,-0.24247422016679396,-0.06894396133434416,-0.019263496133434414,0.2359437907505678,0.13587330811219858,0.4889703975739163
10.955,0.16817477983320725,-0.22471496133434418,0.1660045038665656,-0.17724720924943163,-1.0330106918877928,1.3130983975739179
10.96,-0.02169922016679418,-0.013121961334344135,-0.14486249613343444,0.018001790750568812,0.8770613081122067,0.08334639757389896
10.965,-0.21909722016679395,-0.07034596133434419,0.18043250386656554,0.21690179075056892,-1.0437376918877956,0.4899773975739318
10.97,0.09440077983320704,-0.10240796133434421,0.0849425038665656,-0.10035720924943108,-0.5234816918877923,0.5847653975738974
10.975,-0.020253220166792787,-0.03572096133434427,-0.10756449613343445,0.015260790750570269,0.6523983081122,0.2187223975739069
10.98,-0.06172522016679342,-0.13766596133434425,0.2966495038665656,0.060984790750568375,-1.7711086918877865,0.8437833975739234
10.985,0.10154277983320703,-0.20985796133434423,-0.02579649613343441,-0.1142562092494314,0.150972308112205,1.2379783975739196
10.99,0.2344777798332068,-0.20345296133434423,0.16339950386656557,-0.2427092092494317,-1.0298446918877857,1.1657893975739106
10.995000000000001,0.0756267798332083,-0.1534779613343442,0.16358450386656556,-0.08192620924943143,-0.9997006918877928,0.9011563975739358
11.0,0.1314117798332067,-0.12555796133434424,0.05447250386656558,-0.1391222092494308,-0.3423446918877855,0.7148313975739252
11.005,0.010691779833206334,-0.09999096133434422,0.014589503866565578,-0.018005209249430863,-0.08659969188779514,0.5959343975739212
11.01,0.024423779833207298,-0.07938696133434427,0.06330350386656558,-0.029769209249430308,-0.3825976918877924,0.46715039757392524
11.015,0.13960977983320685,-0.14131796133434418,0.03287250386656557,-0.1484692092494308,-0.21105769188778511,0.8088863975739226
11.02,-0.03653322016679286,-0.17775096133434423,0.016080503866565597,0.025569790750569726,-0.09151369188779454,1.0777313975739213
11.025,-0.1066862201667923,-0.0853939613343442,-0.052832496133434416,0.09915679075056781,0.32686030811220546,0.5444213975739213
11.03,0.035631779833207186,-0.03130496133434419,0.08788250386656554,-0.03774920924943194,-0.5325306918877826,0.17261039757391317
11.035,-0.023200220166793486,-0.03766596133434425,-0.02840349613343443,0.018624790750569744,0.17573730811220714,0.2314323975739338
11.040000000000001,-0.053998220166792475,-0.015619961334344247,0.02472650386656558,0.05137579075056906,-0.14099769188778705,0.1098663975739039
11.045,-0.024320220166791938,-0.051184961334344206,0.1287045038665656,0.021990790750567726,-0.7699876918877888,0.313098397573918
11.05,0.030398779833206685,-0.08861696133434423,-0.08053649613343443,-0.03809820924943189,0.48782530811220987,0.5210753975739176
11.055,0.2052067798332054,-0.17720296133434424,0.1110155038665656,-0.21389220924943167,-0.7006666918878008,1.0111873975738996
11.06,0.007324779833207322,-0.11777296133434419,0.05074150386656557,-0.014900209249431173,-0.30481569188779334,0.7043183975739221
11.065,-0.05070122016679259,-0.03578896133434412,-0.14653949613343442,0.045633790750569364,0.8869113081122069,0.22960139757392384
11.07,0.11380577983320601,-0.04853396133434424,0.07936450386656557,-0.1169582092494307,-0.49174369188778805,0.24995739757391636
11.075000000000001,-0.005609220166792235,-0.022906961334344174,0.05144050386656557,0.003126790750568845,-0.3069366918877958,0.13647739757390656
11.08,0.013520779833206525,-0.00034396133434417626,0.025740503866565567,-0.0150762092494309,-0.15373069188778432,-0.0064516024260744455
11.085,-0.055608220166793704,0.010467038665655841,-0.03296649613343442,0.0537877907505687,0.20542330811220522,-0.04580360242608249
11.09,-0.03875522016679257,0.019955038665655782,-0.03814949613343442,0.0375097907505689,0.2355513081122101,-0.10899060242608173
11.095,0.1394237798332075,-0.1103059613343442,-0.0009204961334344185,-0.14730920924943205,-0.0038056918877882157,0.6190673975739226
11.1,0.0490427798332068,-0.01929296133434417,0.10191850386656555,-0.05008920924943019,-0.6194366918877958,0.0951263975739148
11.105,-0.03104622016679417,0.021431038665655818,0.018016503866565566,0.03062779075056973,-0.1026826918877899,-0.12077060242606917
11.11,0.13475177983320816,0.014344038665655858,-0.031765496133434414,-0.13593020924943047,0.18600630811221522,-0.14161360242608265
